"V0","clusters"
"NUI3599","T2"
"NUI3600","T4"
"NUI3739","T1"
"NUI3603","T1"
"NUI3604","T1"
"NUI3605","T1"
"NUI3606","T1"
"NUI3607","T1"
"NUI3608","T1"
"NUI3609","T1"
"NUI3610","T1"
"NUI3611","T1"
"NUI3612","T1"
"NUI3613","T2"
"NUI3614","T1"
"NUI3740","T1"
"NUI3615","T4"
"NUI3616","T2"
"NUI3617","T2"
"NUI3741","T1"
"NUI3618","T1"
"NUI3619","T2"
"NUI3620","T2"
"NUI3621","T2"
"NUI3729","T1"
"NUI3622","T2"
"NUI3623","T1"
"NUI3624","T1"
"NUI3625","T1"
"NUI3626","T1"
"NUI3627","T1"
"NUI3628","T1"
"NUI3629","T1"
"NUI3730","T1"
"NUI3630","T1"
"NUI3631","T3"
"NUI3632","T1"
"NUI3728","T1"
"NUI3633","T1"
"NUI3634","T2"
"NUI3635","T1"
"NUI3636","T1"
"NUI3637","T1"
"NUI3638","T1"
"NUI3639","T1"
"NUI3640","T2"
"NUI3641","T1"
"NUI3642","T1"
"NUI3643","T2"
"NUI3644","T3"
"NUI3645","T1"
"NUI3646","T3"
"NUI3648","T1"
"NUI3649","T1"
"NUI3650","T1"
"NUI3731","T1"
"NUI3651","T1"
"NUI3652","T1"
"NUI3654","T1"
"NUI3655","T1"
"NUI3656","T3"
"NUI3657","T1"
"NUI3658","T1"
"NUI3659","T1"
"NUI3660","T1"
"NUI3661","T1"
"NUI3662","T1"
"NUI3663","T1"
"NUI3664","T1"
"NUI3665","T1"
"NUI3666","T1"
"NUI3667","T1"
"NUI3668","T1"
"NUI3669","T1"
"NUI3732","T1"
"NUI3670","T1"
"NUI3671","T1"
"NUI3672","T1"
"NUI3673","T1"
"NUI3674","T1"
"NUI3675","T1"
"NUI3733","T1"
"NUI3676","T1"
"NUI3677","T1"
"NUI3734","T1"
"NUI3678","T1"
"NUI3679","T1"
"NUI3680","T3"
"NUI3681","T1"
"NUI3682","T1"
"NUI3683","T2"
"NUI3684","T1"
"NUI3685","T1"
"NUI3686","T1"
"NUI3687","T1"
"NUI3735","T1"
"NUI3688","T1"
"NUI3689","T1"
"NUI3690","T1"
"NUI3691","T1"
"NUI3692","T1"
"NUI3693","T1"
"NUI3694","T1"
"NUI3695","T1"
"NUI3696","T1"
"NUI3697","T1"
"NUI3698","T1"
"NUI3736","T1"
"NUI3699","T1"
"NUI3700","T1"
"NUI3701","T1"
"NUI3737","T3"
"NUI3702","T1"
"NUI3703","T1"
"NUI3704","T1"
"NUI3705","T1"
"NUI3706","T1"
"NUI3707","T1"
"NUI3708","T1"
"NUI3709","T1"
"NUI3710","T1"
